Technique,Count
T1087,18
T1018,3
T1046,35
T1071,3
T1210,3
T1012,1
T1030,3
T1071.001,3
T1498,6
T1078.004,4
T1136.003,4
T1087.004,4
T1059,2
T1482,2
T1201,2
T1069,2
T1074,2
T1021,2
T1078,7
T1190,5
T1114,5
T1040,1
T1047,5
