Technique,Count
T1528,14
T1550,6
T1078,57
T1110,133
T1003,14
T1098,6
T1003.001,3
T1558,3
T1556,8
T1570,12
T1212,2
T1569,5
T1555,3
T1550.001,2
T1078.004,12
T1110.004,2
T1110.003,2
T1110.001,5
T1552,1
T1040,1
