Technique,Count
T1567,131
T1078,241
T1052,8
T1048,44
T1030,46
T1114,6
T1020,73
T1046,3
T1071.001,43
T1041,41
T1567.002,24
T1102.002,24
T1071,18
T1011,6
T1530,4
T1213,4
T1568,12
T1008,12
T1199,1
T1102,3
T1204,2
T1537,3
T114,30
T1534,60
