Technique,Count
T1190,210
T1195,11
T1059,7
T1546,5
T1078.004,73
T1078,508
T1528,4
T1566,26
T1567,60
T1211,2
T0890,2
T1189,18
T1203,24
T0853,2
T1489,4
T1199,9
T1098,18
T1110,53
T1133,1
T1114,6
T1071,37
T1136.003,4
T1087.004,4
T1548,7
T1136,5
T1505,1
T1110.004,2
T1110.003,2
T1102,1
T1001.002,3
T1087,5
T1595,9
T1586,11
T1570,11
T1490,9
T1496,33
T114,30
T1020,60
T1485,30
T1499,30
T1534,60
T1486,25
T1210,5
T1068,5
