Technique,Count
T1114,18
T1098,2
T1020,40
T1005,47
T1133,1
T1213,10
T1059,3
T1087,7
T1482,2
T1201,2
T1069,2
T1074,2
T1530,11
T1114.002,5
T1078,61
T1176,2
T1119,4
T1190,5
T1078.004,4
T1074.001,12
T114,30
