Technique,Count
T1078,99
T1563,1
T1072,2
T1570,34
T1059.001,6
T1046,3
T1071,3
T1210,13
T1021,18
T1021.003,2
T1212,2
T1136,4
T1078.004,10
T1087,2
T1110,5
T1484,1
T1047,1
T1021.006,1
T1586,11
T1219,6
T1534,60
T1020,30
T1190,5
T1203,5
T1068,5
