Technique,Count
T1102,71
T1090,6
T1008,60
T1046,6
T1071,204
T1210,3
T1568,95
T1105,5
T1030,4
T1071.001,108
T1041,41
T1567.002,24
T1102.002,74
T1571,24
T1566,22
T1189,15
T1203,15
T1204.001,50
T1204,36
T1567,6
T1496,2
T1048,24
T1078,14
T1219,14
T1021,6
T1573,5
