Technique,Count
T1550.001,8
T1528,6
T1550,6
T1078.004,7
T1211,2
T1059,15
T1190,2
T0890,2
T1078,38
T1578,13
T1578.003,2
T1098,10
T1562,22
T1055,3
T1027,16
T1140,11
T1070,8
T1564,4
T1562.001,7
T1485,2
T1036,4
T1543,2
T1535,1
T1484,1
T1489,1
T1055.013,1
T1218.011,2
T1578.002,1
T1562.008,2
T1569,1
T1505,1
T1542,1
