Technique,Count
T1195,5
T1059,53
T1546,5
T1203,45
T1211,2
T1190,9
T0890,2
T1189,17
T0853,2
T1072,9
T1570,8
T1059.001,6
T1027,13
T1140,11
T1204,50
T1071,15
T1102.002,50
T1204.001,50
T1569,6
T1003,5
T1071.001,34
T1543,2
T1098,2
T1059.007,2
T1087,2
T1482,2
T1201,2
T1069,2
T1074,2
T1595,1
T1053,9
T1037,3
T1496,2
T1114,1
T1053.005,1
T1102,2
T1567,2
T1068,6
T1047,7
T1021.006,1
T1569.002,1
T1548,2
T1095,2
T1059.004,2
T1070,2
T1578,1
T1559,1
T1210,5
