Technique,Count
T1531,10
T1098.003,2
T1078.004,2
T1486,71
T1078,230
T1489,6
T1485,75
T1496,176
T1036,2
T1046,6
T1498,6
T1561,10
T1499,46
T1098,14
T1203,1
T1071,2
T1571,2
T1529,2
T1190,27
T1490,15
T1559,1
