Technique,Count
T1136,2
T1068,12
T1078.004,37
T1098.003,2
T1098,59
T1078,81
T1528,4
T1211,2
T1059,2
T1190,7
T0890,2
T1563,1
T1548,17
T1055,3
T1548.002,2
T1134,3
T1496,12
T1505,1
T1484,1
T1114,1
T1087,6
T1114.002,4
T1053,1
T1203,5
T1210,5
